loyalty,satisfaction,Involvement_1,Involvement_2,Involvement_3,Involvement_4,Emo_1,Emo_2,Emo_3,Calc_1,Calc_2,Calc_3,Calc_4,Calc_5,trust_1,trust_2,trust_3,image_1,image_2,image_3,image_4,image_5,educ,gender,age,Involvement,Emotional,Calculative,Trust,Image
7,5,3,5,5,5,5,5,4,5,3,3,1,5,5,5,5,5,5,5,5,5,5,2,2,18,14,17,15,25
7,5,5,3,3,5,5,5,5,2,3,5,2,3,5,5,5,4,4,5,5,5,5,1,2,16,15,15,15,23
7,5,2,2,2,2,5,4,4,3,3,3,1,2,4,5,5,4,4,4,4,5,6,2,4,8,13,12,14,21
7,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,2,2,4,20,15,21,15,25
7,5,5,5,5,5,4,5,5,4,4,4,4,1,5,5,5,5,5,5,5,5,4,2,4,20,14,17,15,25
7,5,5,2,3,1,5,5,5,5,3,4,1,5,5,5,5,5,5,5,5,5,3,1,6,11,15,18,15,25
7,5,1,4,4,3,4,5,5,2,3,1,3,5,5,4,5,4,5,5,5,5,4,2,4,12,14,14,14,24
7,5,5,5,5,5,5,5,4,3,5,3,5,4,4,5,5,4,5,5,3,5,2,1,2,20,14,20,14,22
7,4,4,3,3,2,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,6,1,5,12,15,5,15,25
7,5,4,2,2,1,4,5,4,3,3,5,1,3,4,4,4,4,4,4,4,5,3,2,3,9,13,15,12,21
7,5,3,4,4,3,4,5,4,3,5,3,5,1,4,5,5,3,4,5,4,4,2,2,3,14,13,17,14,20
7,5,4,4,1,1,5,5,4,3,3,2,1,1,3,5,5,3,5,5,5,5,3,2,6,10,14,10,13,23
7,5,2,2,1,1,4,5,4,3,3,3,1,1,4,5,5,1,4,5,5,5,4,2,5,6,13,11,14,20
7,5,5,1,5,5,5,5,5,3,5,3,1,5,5,5,5,5,5,5,5,5, ,2,6,16,15,17,15,25
7,5,4,4,4,4,5,5,5,4,1,3,4,1,5,5,5,5,5,5,5,5,4,1,5,16,15,13,15,25
7,4,4,5,5,3,3,5,5,3,2,3,5,4,3,3,4,4,4,5,4,4,6,1,5,17,13,17,10,21
7,5,5,5,5,5,5,3,5,4,2,5,1,1,3,3,3,5,4,4,2,5, ,1,6,20,13,13,9,20
7,5,3,5,5,4,5,5,5,2,3,3,3,5,3,5,5,5,5,5,5,5,6,2,2,17,15,16,13,25
7,5,3,4,4,4,5,5,5,3,2,3,2,3,3,5,5,3,5,5,5,5,4,2,2,15,15,13,13,23
7,5,5,5,4,4,5,5,5,4,4,3,2,2,4,5,5,5,4,5,5,5,7,1,2,18,15,15,14,24
7,5,5,5,5,4,5,5,5,4,4,3,3,1,3,5,5,4,5,5,5,5,6,1,6,19,15,15,13,24
7,5,4,3,3,3,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,4,1,3,13,15,15,15,25
7,5,4,4,5,2,4,5,4,3,4,3,5,4,5,5,5,3,4,5,5,5,4,1,4,15,13,19,15,22
7,5,5,5,5,5,5,5,5,2,1,3,3,4,3,5,5,5,5,5,5,5,6,1,4,20,15,13,13,25
7,5,3,1,1,1,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,4,1,6,6,15,15,13,25
7,5,2,4,4,2,5,4,4,2,3,3,2,2,4,5,4,5,5,5,5,5,3,2,4,12,13,12,13,25
7,5,5,2,4,5,5,5,5,3,4,1,3,5,4,5,5,5,5,5,5,5,4,2,5,16,15,16,14,25
7,5,5,5,2,5,5,5,5,5,3,3,1,3,5,5,5,5,5,5,5,5,1,2,6,17,15,15,15,25
7,4,2,2,2,2,4,4,4,3,5,5,2,5,4,4,4,3,4,4,5,4,6,1,6,8,12,20,12,20
7,5,5,5,5,5,5,5,5,5,3,4,3,3,5,5,5,5,5,5,5,5,7,2,2,20,15,18,15,25
7,4,4,3,2,4,3,5,4,3,5,4,4,4,3,4,4,3,3,4,3,5,3,2,4,13,12,20,11,18
7,4,5,1,5,4,4,5,4,5,3,2,5,1,4,5,5,5,5,5,4,5,3,1,6,15,13,16,14,24
7,5,5,3,5,5,3,5,5,2,5,1,3,5,4,5,5,4,5,5,3,5,1,1,7,18,13,16,14,22
7,4,5,3,4,5,4,5,3,3,5,3,3,5,3,4,5,3,5,4,3,4,2,2,5,17,12,19,12,19
7,4,4,1,1,1,5,5,5,3,2,3,3,5,3,4,4,4,4,5,5,5,2,2,5,7,15,16,11,23
